,symbol,currency,categoryName,currencyProfit,quoteId,quoteIdCross,marginMode,profitMode,pipsPrecision,contractSize,exemode,time,expiration,stopsLevel,precision,swapType,stepRuleId,type,instantMaxVolume,groupName,description,longOnly,trailingEnabled,marginHedgedStrong,swapEnable,percentage,bid,ask,high,low,lotMin,lotMax,lotStep,tickSize,tickValue,swapLong,swapShort,leverage,spreadRaw,spreadTable,starting,swap_rollover3days,marginMaintenance,marginHedged,initialMargin,timeString,currencyPair,shortSelling
1438,CEVA.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360373431,,0,2,2,12,2436,2147483647,US,CEVA Inc,True,False,False,True,100.0,26.75,26.93,26.88,24.95,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.18,18.0,,0,0,0,0,Tue Dec 06 21:59:33 CET 2022,False,False
1439,IG.IT_9,EUR,STC,EUR,6,15,104,6,3,1,1,1670344960563,,0,3,2,224,2425,2147483647,Italy,Italgas SpA,True,False,False,True,100.0,5.58,5.585,5.665,5.575,1.0,1000000.0,1.0,0.001,0.001,0.0,0.0,100.0,0.005,5.0,,0,0,0,0,Tue Dec 06 17:42:40 CET 2022,False,False
1440,DIDI.US_4,USD,STC,USD,6,4,103,6,2,1,1,1670360282875,,0,2,2,671,13,2147483647,US,CLOSE ONLY/ DiDi Global Inc - class A CFD,True,False,False,True,100.0,3.0,3.03,3.17,2.87,1.0,1000000.0,1.0,0.01,0.01,-0.02308,-0.00192,100.0,0.03,3.0,,0,0,0,0,Tue Dec 06 21:58:02 CET 2022,False,False
1441,BLDP.US_4,USD,STC,USD,6,4,103,6,2,1,1,1670360327905,,0,2,2,671,13,2147483647,US,Ballard Power Systems Inc CFD,True,False,False,True,100.0,5.49,5.53,5.92,5.42,1.0,1000000.0,1.0,0.01,0.01,-0.02308,-0.00192,30.0,0.04,4.0,,0,0,0,0,Tue Dec 06 21:58:47 CET 2022,False,False
1442,ELY.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360374933,,0,2,2,12,2436,2147483647,US,Close only/Callaway Golf Co,True,False,False,True,100.0,21.82,21.83,22.35,21.67,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.01,1.0,,0,0,0,0,Tue Dec 06 21:59:34 CET 2022,False,False
1443,GRX.PL,PLN,STC,PLN,6,15,104,6,3,1,1,1670343397500,,0,3,2,223,2429,2147483647,Poland,GreenX Metals Ltd,True,False,False,True,100.0,1.742,1.75,1.798,1.692,1.0,1000000.0,1.0,0.001,0.001,0.0,0.0,100.0,0.008,8.0,,0,0,0,0,Tue Dec 06 17:16:37 CET 2022,False,False
1444,MRN.FR,EUR,STC,EUR,6,15,104,6,2,1,1,1670343924846,,0,2,2,223,2423,2147483647,France,Mersen SA,True,False,False,True,100.0,37.05,37.15,37.15,36.45,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.1,10.0,,0,0,0,0,Tue Dec 06 17:25:24 CET 2022,False,False
1445,AU.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360376936,,0,2,2,12,2436,2147483647,US,AngloGold Ashanti Ltd - ADR,True,False,False,True,100.0,18.55,18.57,18.92,18.48,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.02,2.0,,0,0,0,0,Tue Dec 06 21:59:36 CET 2022,False,False
1446,NXPI.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360393946,,0,2,2,12,2436,2147483647,US,NXP Semiconductors NV,True,False,False,True,100.0,162.66,162.79,166.81,161.09,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.13,13.0,,0,0,0,0,Tue Dec 06 21:59:53 CET 2022,False,False
1447,PNW.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360344916,,0,2,2,12,2436,2147483647,US,Pinnacle West Capital Corp,True,False,False,True,100.0,77.54,77.55,78.59,76.88,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.01,1.0,,0,0,0,0,Tue Dec 06 21:59:04 CET 2022,False,False
1448,MCHP.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360392445,,0,2,2,12,2436,2147483647,US,Microchip Technology Inc,True,False,False,True,100.0,75.05,75.08,76.48,74.52,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.03,3.0,,0,0,0,0,Tue Dec 06 21:59:52 CET 2022,False,False
