|STOCK|COUNTRY|URL
391|AFL|US|https://www.investing.com/equities/aflac-inc
392|CHK|US|https://www.investing.com/equities/aflac-inc
393|HOG|US|https://www.investing.com/equities/harley-davidson
394|EQR|US|https://www.investing.com/equities/eq-resident
395|PBI|US|https://www.investing.com/equities/pitney-bowes-inc
396|APD|US|https://www.investing.com/equities/air-prods---chem
397|FHN|US|https://www.investing.com/equities/first-horizon-ntl
398|PFG|US|https://www.investing.com/equities/principal-fin
399|TXN|US|https://www.investing.com/equities/texas-instru
400|ASR|US|https://www.investing.com/equities/grupo-aeroportuario-sur-adr
401|HPQ|US|https://www.investing.com/equities/hewlett-pack
402|CCEP|US|https://www.investing.com/equities/coca-cola-ent
403|HON|US|https://www.investing.com/equities/honeywell-intl
404|NMR|US|https://www.investing.com/equities/nomura-holdings
405|AMD|US|https://www.investing.com/equities/adv-micro-device
406|MTB|US|https://www.investing.com/equities/m-t-bank-corp
407|NCR|US|https://www.investing.com/equities/ncr-corp
408|MOS|US|https://www.investing.com/equities/mosaic-company
409|PKI|US|https://www.investing.com/equities/perkinelmer
410|LVS|US|https://www.investing.com/equities/las-vegas-sands
411|FCX|US|https://www.investing.com/equities/freeport-mcm
412|AZO|US|https://www.investing.com/equities/autozone-inc
413|NBR|US|https://www.investing.com/equities/nabors-inds
414|SYY|US|https://www.investing.com/equities/sysco-corp
415|THC|US|https://www.investing.com/equities/tenet-healthcare
416|AEE|US|https://www.investing.com/equities/ameren-corp
417|IBA|US|https://www.investing.com/equities/industrias-bachoco-sab-adr
418|ETN|US|https://www.investing.com/equities/eaton
419|SRL|US|https://www.investing.com/equities/mfc-industrial
420|KOF|US|https://www.investing.com/equities/coca-cola-femsa-adr
421|CRM|US|https://www.investing.com/equities/salesforce-com
422|EPAC|US|https://www.investing.com/equities/actuant-corp
423|ED|US|https://www.investing.com/equities/cocnsol-edison
424|AES|US|https://www.investing.com/equities/aes-corp
425|RIG|US|https://www.investing.com/equities/transocea-ltd
426|AIV|US|https://www.investing.com/equities/apt-inv-manage
427|TXT|US|https://www.investing.com/equities/textron-inc
428|GPAGF|US|https://www.investing.com/equities/gruma-sab-adr
429|UIS|US|https://www.investing.com/equities/unisys-corp
430|FII|US|https://www.investing.com/equities/fed-investors
431|VIA|US|https://www.investing.com/equities/viacom-inc
432|USB|US|https://www.investing.com/equities/us-bancorp
433|CMA|US|https://www.investing.com/equities/comerica-inc
434|VAL|US|https://www.investing.com/equities/ensco-intl
435|TIF|US|https://www.investing.com/equities/tiffany---co
436|V|US|https://www.investing.com/equities/visa-inc
437|MTG|US|https://www.investing.com/equities/mgic-inv
438|BKR|US|https://www.investing.com/equities/baker-hughes
439|TM|US|https://www.investing.com/equities/toyota
440|WU|US|https://www.investing.com/equities/western-union
441|CAJ|US|https://www.investing.com/equities/canon
442|HES|US|https://www.investing.com/equities/hess-corp
443|YUM|US|https://www.investing.com/equities/yum!-brands-inc
444|MMC|US|https://www.investing.com/equities/marsh---mclennan
445|KYOCY|US|https://www.investing.com/equities/kyocera
446|K|US|https://www.investing.com/equities/kellogg-co.
447|KIM|US|https://www.investing.com/equities/kimco-realty
448|ECL|US|https://www.investing.com/equities/ecolab-inc
449|JWN|US|https://www.investing.com/equities/nordstrom-inc
450|EOG|US|https://www.investing.com/equities/eog-resources
451|NWL|US|https://www.investing.com/equities/newell-rubber
452|AON|US|https://www.investing.com/equities/aon-corp
453|HAS|US|https://www.investing.com/equities/hasbro-inc
454|BK|US|https://www.investing.com/equities/bk-of-ny
455|WIT|US|https://www.investing.com/equities/wipro
456|SLB|US|https://www.investing.com/equities/schlumberger-ltd
457|WBA|US|https://www.investing.com/equities/walgreen-co
458|ROK|US|https://www.investing.com/equities/rockwell-automat
459|PEP|US|https://www.investing.com/equities/pepsico
460|UNH|US|https://www.investing.com/equities/united-health-group
461|TER|US|https://www.investing.com/equities/teradyne-inc
462|MUR|US|https://www.investing.com/equities/murphy-oil-corp
463|MFG|US|https://www.investing.com/equities/mizuho
464|DDS|US|https://www.investing.com/equities/dillards
465|DHR|US|https://www.investing.com/equities/danaher-corp
466|FLIR|US|https://www.investing.com/equities/flir-systems
467|SPWR|US|https://www.investing.com/equities/sunpower-corporation
468|STX|US|https://www.investing.com/equities/seagate-technology
469|A|US|https://www.investing.com/equities/agilent-tech
470|CX|US|https://www.investing.com/equities/cemex-sab-de-cv-adr
471|DAL|US|https://www.investing.com/equities/delta-air-lines-new
472|M|US|https://www.investing.com/equities/macys
473|MCO|US|https://www.investing.com/equities/moodys-corp
474|NKE|US|https://www.investing.com/equities/nike
475|RDY|US|https://www.investing.com/equities/dr.-reddys-laboratories
476|LNN|US|https://www.investing.com/equities/lindsay-corporation
477|PG|US|https://www.investing.com/equities/procter-gamble
478|WY|US|https://www.investing.com/equities/weyerhaeuser
479|ICAYY|US|https://www.investing.com/equities/empresas-ica-soc-con
480|ADP|US|https://www.investing.com/equities/auto-data-process
481|LARRF|US|https://www.investing.com/equities/laird
482|DNR|US|https://www.investing.com/equities/denbury-resources-inc
483|MDRX|US|https://www.investing.com/equities/allscripts-misys-healthcre-solution
484|RS|US|https://www.investing.com/equities/reliance-steel---aluminum-co.
485|SSRM|US|https://www.investing.com/equities/silver-standard-resources
486|SWN|US|https://www.investing.com/equities/southwestern-energy-company
487|CRI|US|https://www.investing.com/equities/carters-inc
488|KDP|US|https://www.investing.com/equities/dr-pepper-snapple
489|LOW|US|https://www.investing.com/equities/lowes-companies
490|AMPLQ|US|https://www.investing.com/equities/ampal-am-israel
491|MIDD|US|https://www.investing.com/equities/the-middleby-corp
492|VALE|US|https://www.investing.com/equities/vale-s.a.--americ
493|CPL|US|https://www.investing.com/equities/cpfl-energia-s.a.
494|UAL|US|https://www.investing.com/equities/united-continenta
495|NFLX|US|https://www.investing.com/equities/netflix,-inc.
496|NWS|US|https://www.investing.com/equities/news-corporation
